Ticker,Code,Name
ALXA,GOOG/NASDAQ_ALXA,"Alexza Pharmaceuticals, Inc."
ALCO,GOOG/NASDAQ_ALCO,"Alico, Inc."
ALGN,GOOG/NASDAQ_ALGN,"Align Technology, Inc."
ALIM,GOOG/NASDAQ_ALIM,"Alimera Sciences, Inc."
ALKS,GOOG/NASDAQ_ALKS,Alkermes plc
ALGT,GOOG/NASDAQ_ALGT,Allegiant Travel Company
ALLB,GOOG/NASDAQ_ALLB,"Alliance Bancorp, Inc. of Pennsylvania"
AFOP,GOOG/NASDAQ_AFOP,"Alliance Fiber Optic Products, Inc."
AIQ,GOOG/NASDAQ_AIQ,"Alliance HealthCare Services, Inc."
AHGP,GOOG/NASDAQ_AHGP,"Alliance Holdings GP, L.P."
ARLP,GOOG/NASDAQ_ARLP,"Alliance Resource Partners, L.P."
AHPI,GOOG/NASDAQ_AHPI,"Allied Healthcare Products, Inc."
AMOT,GOOG/NASDAQ_AMOT,"Allied Motion Technologies, Inc."
ALQA,GOOG/NASDAQ_ALQA,"Alliqua, Inc."
ALLT,GOOG/NASDAQ_ALLT,Allot Communications Ltd.
MDRX,GOOG/NASDAQ_MDRX,"Allscripts Healthcare Solutions, Inc."
AFAM,GOOG/NASDAQ_AFAM,Almost Family Inc
ALNY,GOOG/NASDAQ_ALNY,"Alnylam Pharmaceuticals, Inc."
AOSL,GOOG/NASDAQ_AOSL,Alpha and Omega Semiconductor Limited
ATEC,GOOG/NASDAQ_ATEC,"Alphatec Holdings, Inc."
ALTR,GOOG/NASDAQ_ALTR,Altera Corporation
ASPS,GOOG/NASDAQ_ASPS,Altisource Portfolio Solutions S.A.
APSA,GOOG/NASDAQ_APSA,Alto Palermo S.A.
AIMC,GOOG/NASDAQ_AIMC,Altra Industrial Motion Corp.
AMAG,GOOG/NASDAQ_AMAG,"AMAG Pharmaceuticals, Inc."
AMRN,GOOG/NASDAQ_AMRN,Amarin Corporation PLC
AMRK,GOOG/NASDAQ_AMRK,"A-Mark Precious Metals, Inc."
AMZN,GOOG/NASDAQ_AMZN,"Amazon.com, Inc."
AMBC,GOOG/NASDAQ_AMBC,"Ambac Financial Group, Inc."
AMBCW,GOOG/NASDAQ_AMBCW,"Ambac Financial Group, Inc."
AMBA,GOOG/NASDAQ_AMBA,"Ambarella, Inc."
EPAX,GOOG/NASDAQ_EPAX,"Ambassadors Group, Inc."
AMCX,GOOG/NASDAQ_AMCX,AMC Networks Inc.
DOX,GOOG/NASDAQ_DOX,Amdocs Limited
AMDA,GOOG/NASDAQ_AMDA,Amedica Corporation
AMED,GOOG/NASDAQ_AMED,Amedisys Inc
UHAL,GOOG/NASDAQ_UHAL,Amerco
ASBI,GOOG/NASDAQ_ASBI,Ameriana Bancorp
ATAX,GOOG/NASDAQ_ATAX,"America First Multifamily Investors, L.P."
AMOV,GOOG/NASDAQ_AMOV,"America Movil, S.A.B. de C.V."
AAL,GOOG/NASDAQ_AAL,"American Airlines Group, Inc."
AGNC,GOOG/NASDAQ_AGNC,American Capital Agency Corp.
AGNCB,GOOG/NASDAQ_AGNCB,American Capital Agency Corp.
AGNCP,GOOG/NASDAQ_AGNCP,American Capital Agency Corp.
MTGE,GOOG/NASDAQ_MTGE,American Capital Mortgage Investment Corp.
MTGEP,GOOG/NASDAQ_MTGEP,American Capital Mortgage Investment Corp.
ACSF,GOOG/NASDAQ_ACSF,"American Capital Senior Floating, Ltd."
ACAS,GOOG/NASDAQ_ACAS,"American Capital, Ltd."
ANCI,GOOG/NASDAQ_ANCI,American Caresource Holdings Inc
AETI,GOOG/NASDAQ_AETI,"American Electric Technologies, Inc."
AMIC,GOOG/NASDAQ_AMIC,American Independence Corp.
AMNB,GOOG/NASDAQ_AMNB,"American National Bankshares, Inc."
ANAT,GOOG/NASDAQ_ANAT,American National Insurance Company
APEI,GOOG/NASDAQ_APEI,"American Public Education, Inc."
ARII,GOOG/NASDAQ_ARII,"American Railcar Industries, Inc."
HCT,GOOG/NASDAQ_HCT,"American Realty Capital Healthcare Trust, Inc."
ARCP,GOOG/NASDAQ_ARCP,"American Realty Capital Properties, Inc."
ARCPP,GOOG/NASDAQ_ARCPP,"American Realty Capital Properties, Inc."
AMRB,GOOG/NASDAQ_AMRB,American River Bankshares
ASEI,GOOG/NASDAQ_ASEI,"American Science and Engineering, Inc."
AMSWA,GOOG/NASDAQ_AMSWA,"American Software, Inc."
AMSC,GOOG/NASDAQ_AMSC,American Superconductor Corporation
AMWD,GOOG/NASDAQ_AMWD,American Woodmark Corporation
CRMT,GOOG/NASDAQ_CRMT,"America&#39;s Car-Mart, Inc."
ABCB,GOOG/NASDAQ_ABCB,Ameris Bancorp
AMSF,GOOG/NASDAQ_AMSF,"AMERISAFE, Inc."
ASRV,GOOG/NASDAQ_ASRV,AmeriServ Financial Inc.
ASRVP,GOOG/NASDAQ_ASRVP,AmeriServ Financial Inc.
ATLO,GOOG/NASDAQ_ATLO,Ames National Corporation
AMGN,GOOG/NASDAQ_AMGN,Amgen Inc.
FOLD,GOOG/NASDAQ_FOLD,"Amicus Therapeutics, Inc."
AMKR,GOOG/NASDAQ_AMKR,"Amkor Technology, Inc."
AMPH,GOOG/NASDAQ_AMPH,"Amphastar Pharmaceuticals, Inc."
AMSG,GOOG/NASDAQ_AMSG,Amsurg Corp.
AMSGP,GOOG/NASDAQ_AMSGP,Amsurg Corp.
ASYS,GOOG/NASDAQ_ASYS,"Amtech Systems, Inc."
AFSI,GOOG/NASDAQ_AFSI,"AmTrust Financial Services, Inc."
AMRS,GOOG/NASDAQ_AMRS,"Amyris, Inc."
ANAC,GOOG/NASDAQ_ANAC,"Anacor Pharmaceuticals, Inc."
ANAD,GOOG/NASDAQ_ANAD,"ANADIGICS, Inc."
ADI,GOOG/NASDAQ_ADI,"Analog Devices, Inc."
ALOG,GOOG/NASDAQ_ALOG,Analogic Corporation
ANCB,GOOG/NASDAQ_ANCB,Anchor Bancorp
ABCW,GOOG/NASDAQ_ABCW,Anchor BanCorp Wisconsin Inc.
AMCF,GOOG/NASDAQ_AMCF,Andatee China Marine Fuel Services Corporation
ANGI,GOOG/NASDAQ_ANGI,"Angie&#39;s List, Inc."
ANGO,GOOG/NASDAQ_ANGO,"AngioDynamics, Inc."
ANIP,GOOG/NASDAQ_ANIP,"ANI Pharmaceuticals, Inc."
ANIK,GOOG/NASDAQ_ANIK,Anika Therapeutics Inc.
ANSS,GOOG/NASDAQ_ANSS,"ANSYS, Inc."
ATRS,GOOG/NASDAQ_ATRS,"Antares Pharma, Inc."
ANTH,GOOG/NASDAQ_ANTH,"Anthera Pharmaceuticals, Inc."
ABAC,GOOG/NASDAQ_ABAC,"Aoxin Tianli Group, Inc."
APAGF,GOOG/NASDAQ_APAGF,Apco Oil and Gas International Inc.
ATNY,GOOG/NASDAQ_ATNY,API Technologies Corp.
APOG,GOOG/NASDAQ_APOG,"Apogee Enterprises, Inc."
APOL,GOOG/NASDAQ_APOL,"Apollo Education Group, Inc."
AINV,GOOG/NASDAQ_AINV,Apollo Investment Corporation
AAPL,GOOG/NASDAQ_AAPL,Apple Inc.
ARCI,GOOG/NASDAQ_ARCI,"Appliance Recycling Centers of America, Inc."
APDN,GOOG/NASDAQ_APDN,Applied DNA Sciences Inc
APDNW,GOOG/NASDAQ_APDNW,Applied DNA Sciences Inc
AGTC,GOOG/NASDAQ_AGTC,Applied Genetic Technologies Corporation
AMAT,GOOG/NASDAQ_AMAT,"Applied Materials, Inc."
AMCC,GOOG/NASDAQ_AMCC,Applied Micro Circuits Corporation
AAOI,GOOG/NASDAQ_AAOI,"Applied Optoelectronics, Inc."
AREX,GOOG/NASDAQ_AREX,Approach Resources Inc.
APRI,GOOG/NASDAQ_APRI,"Apricus Biosciences, Inc"
APTO,GOOG/NASDAQ_APTO,"Aptose Biosciences, Inc."
AQXP,GOOG/NASDAQ_AQXP,"Aquinox Pharmaceuticals, Inc."
AUMA,GOOG/NASDAQ_AUMA,AR Capital Acquisition Corp.
AUMAU,GOOG/NASDAQ_AUMAU,AR Capital Acquisition Corp.
AUMAW,GOOG/NASDAQ_AUMAW,AR Capital Acquisition Corp.
ARDM,GOOG/NASDAQ_ARDM,Aradigm Corporation
PETX,GOOG/NASDAQ_PETX,"Aratana Therapeutics, Inc."
ARCW,GOOG/NASDAQ_ARCW,"ARC Group Worldwide, Inc."
ABIO,GOOG/NASDAQ_ABIO,"ARCA biopharma, Inc."
ARCB,GOOG/NASDAQ_ARCB,ArcBest Corporation
ACGL,GOOG/NASDAQ_ACGL,Arch Capital Group Ltd.
ACAT,GOOG/NASDAQ_ACAT,Arctic Cat Inc.
ARDX,GOOG/NASDAQ_ARDX,"Ardelyx, Inc."
ARNA,GOOG/NASDAQ_ARNA,"Arena Pharmaceuticals, Inc."
ARCC,GOOG/NASDAQ_ARCC,Ares Capital Corporation
AGII,GOOG/NASDAQ_AGII,"Argo Group International Holdings, Ltd."
AGIIL,GOOG/NASDAQ_AGIIL,"Argo Group International Holdings, Ltd."
ARGS,GOOG/NASDAQ_ARGS,"Argos Therapeutics, Inc."
ARIS,GOOG/NASDAQ_ARIS,"ARI Network Services, Inc."
ARIA,GOOG/NASDAQ_ARIA,"ARIAD Pharmaceuticals, Inc."
ARKR,GOOG/NASDAQ_ARKR,Ark Restaurants Corp.
ARMH,GOOG/NASDAQ_ARMH,ARM Holdings plc
ARTX,GOOG/NASDAQ_ARTX,Arotech Corporation
ARQL,GOOG/NASDAQ_ARQL,"ArQule, Inc."
ARRY,GOOG/NASDAQ_ARRY,Array BioPharma Inc.
ARRS,GOOG/NASDAQ_ARRS,"ARRIS Group, Inc."
DWAT,GOOG/NASDAQ_DWAT,Arrow DWA Tactical ETF
AROW,GOOG/NASDAQ_AROW,Arrow Financial Corporation
ARWR,GOOG/NASDAQ_ARWR,Arrowhead Research Corporation
ARTNA,GOOG/NASDAQ_ARTNA,Artesian Resources Corporation
ARTW,GOOG/NASDAQ_ARTW,"Art&#39;s-Way Manufacturing Co., Inc."
ARUN,GOOG/NASDAQ_ARUN,"Aruba Networks, Inc."
ASBB,GOOG/NASDAQ_ASBB,"ASB Bancorp, Inc."
ASNA,GOOG/NASDAQ_ASNA,"Ascena Retail Group, Inc."
ASCMA,GOOG/NASDAQ_ASCMA,"Ascent Capital Group, Inc."
ASTI,GOOG/NASDAQ_ASTI,"Ascent Solar Technologies, Inc."
APWC,GOOG/NASDAQ_APWC,Asia Pacific Wire & Cable Corporation Limited
ASMI,GOOG/NASDAQ_ASMI,ASM International N.V.
ASML,GOOG/NASDAQ_ASML,ASML Holding N.V.
AZPN,GOOG/NASDAQ_AZPN,"Aspen Technology, Inc."
ASMB,GOOG/NASDAQ_ASMB,"Assembly Biosciences, Inc."
ASBC,GOOG/NASDAQ_ASBC,Associated Banc-Corp
ASBCW,GOOG/NASDAQ_ASBCW,Associated Banc-Corp
ASFI,GOOG/NASDAQ_ASFI,"Asta Funding, Inc."
ATEA,GOOG/NASDAQ_ATEA,"Astea International, Inc."
ASTE,GOOG/NASDAQ_ASTE,"Astec Industries, Inc."
ALOT,GOOG/NASDAQ_ALOT,"Astro-Med, Inc."
ATRO,GOOG/NASDAQ_ATRO,Astronics Corporation
ASTC,GOOG/NASDAQ_ASTC,Astrotech Corporation
ASUR,GOOG/NASDAQ_ASUR,Asure Software Inc
ATAI,GOOG/NASDAQ_ATAI,ATA Inc.
ATRA,GOOG/NASDAQ_ATRA,"Atara Biotherapeutics, Inc."
ATHN,GOOG/NASDAQ_ATHN,"athenahealth, Inc."
AFCB,GOOG/NASDAQ_AFCB,Athens Bancshares Corporation
ATHX,GOOG/NASDAQ_ATHX,"Athersys, Inc."
AAME,GOOG/NASDAQ_AAME,Atlantic American Corporation
ACFC,GOOG/NASDAQ_ACFC,Atlantic Coast Financial Corporation
ATNI,GOOG/NASDAQ_ATNI,"Atlantic Tele-Network, Inc."
ATLC,GOOG/NASDAQ_ATLC,Atlanticus Holdings Corporation
AAWW,GOOG/NASDAQ_AAWW,Atlas Air Worldwide Holdings
AFH,GOOG/NASDAQ_AFH,"Atlas Financial Holdings, Inc."
ATML,GOOG/NASDAQ_ATML,Atmel Corporation
ATOS,GOOG/NASDAQ_ATOS,Atossa Genetics Inc.
ATRC,GOOG/NASDAQ_ATRC,"AtriCure, Inc."
ATRI,GOOG/NASDAQ_ATRI,ATRION Corporation
ATTU,GOOG/NASDAQ_ATTU,Attunity Ltd.
AUBN,GOOG/NASDAQ_AUBN,"Auburn National Bancorporation, Inc."
ADNC,GOOG/NASDAQ_ADNC,"Audience, Inc."
AUDC,GOOG/NASDAQ_AUDC,AudioCodes Ltd.
AUPH,GOOG/NASDAQ_AUPH,Aurinia Pharmaceuticals Inc
EARS,GOOG/NASDAQ_EARS,Auris Medical Holding AG
ASPX,GOOG/NASDAQ_ASPX,"Auspex Pharmaceuticals, Inc."
ADAT,GOOG/NASDAQ_ADAT,Authentidate Holding Corp.
ABTL,GOOG/NASDAQ_ABTL,Autobytel Inc.
ADSK,GOOG/NASDAQ_ADSK,"Autodesk, Inc."
ADP,GOOG/NASDAQ_ADP,"Automatic Data Processing, Inc."
AUXL,GOOG/NASDAQ_AUXL,"Auxilium Pharmaceuticals, Inc."
AVGO,GOOG/NASDAQ_AVGO,Avago Technologies Limited
AAVL,GOOG/NASDAQ_AAVL,"Avalanche Biotechnologies, Inc."
AVNR,GOOG/NASDAQ_AVNR,"Avanir Pharmaceuticals, Inc."
AVEO,GOOG/NASDAQ_AVEO,"AVEO Pharmaceuticals, Inc."
AVNW,GOOG/NASDAQ_AVNW,"Aviat Networks, Inc."
AVID,GOOG/NASDAQ_AVID,"Avid Technology, Inc."
CAR,GOOG/NASDAQ_CAR,"Avis Budget Group, Inc."
AWRE,GOOG/NASDAQ_AWRE,"Aware, Inc."
ACLS,GOOG/NASDAQ_ACLS,"Axcelis Technologies, Inc."
AXPW,GOOG/NASDAQ_AXPW,"Axion Power International, Inc."
AXPWW,GOOG/NASDAQ_AXPWW,"Axion Power International, Inc."
AXGN,GOOG/NASDAQ_AXGN,"AxoGen, Inc."
AXTI,GOOG/NASDAQ_AXTI,AXT Inc
BCOM,GOOG/NASDAQ_BCOM,B Communications Ltd.
BOSC,GOOG/NASDAQ_BOSC,B.O.S. Better Online Solutions
BEAV,GOOG/NASDAQ_BEAV,"B/E Aerospace, Inc."
BEAVV,GOOG/NASDAQ_BEAVV,"B/E Aerospace, Inc."
BIDU,GOOG/NASDAQ_BIDU,"Baidu, Inc."
BCPC,GOOG/NASDAQ_BCPC,Balchem Corporation
BWINA,GOOG/NASDAQ_BWINA,"Baldwin & Lyons, Inc."
BWINB,GOOG/NASDAQ_BWINB,"Baldwin & Lyons, Inc."
BLDP,GOOG/NASDAQ_BLDP,"Ballard Power Systems, Inc."
BANF,GOOG/NASDAQ_BANF,BancFirst Corporation
